route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15500,CMBC,002,MACDONALD-16TH AVE/BURRARD STN    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r002.ashx, , 
15501,CMBC,003,MAIN/DOWNTOWN                  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r003.ashx, , 
15502,CMBC,004,PHIBBS EXCH/POWELL/DOWNTOWN/UBC, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r004.ashx, , 
15503,CMBC,005,ROBSON/DOWNTOWN                , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r005.ashx, , 
15504,CMBC,006,DAVIE/DOWNTOWN                 , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r006.ashx, , 
15505,CMBC,007,NANAIMO STN/DUNBAR             , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r007.ashx, , 
15506,CMBC,008,FRASER/DOWNTOWN               , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r008.ashx, , 
15507,CMBC,009,BDRY/BWAY STN/GRAN/ALMA/UBC  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r009.ashx, , 
15508,CMBC,010,HASTINGS/DOWNTOWN/GRAN           , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r010.ashx, , 
15509,CMBC,015,CAMBIE/DOWNTOWN                , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r015.ashx, , 
15510,CMBC,016,29TH AVENUE STN/ARBUTUS        , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r016.ashx, , 
15511,CMBC,017,OAK/DOWNTOWN/UBC                   , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r017.ashx, , 
15512,CMBC,019,METROTOWN STN/STANLEY PARK         , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r019.ashx, , 
15513,CMBC,020,VICTORIA/DOWNTOWN              , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r020.ashx, , 
15514,CMBC,022,KNIGHT/MACDONALD               , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r022.ashx, , 
15515,CMBC,025,BRENTWOOD STN/UBC             , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r025.ashx, , 
15516,CMBC,026,JOYCE STN/29TH AVENUE STN  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r026.ashx, , 
15517,CMBC,027,KOOTENAY LOOP/JOYCE STN        , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r027.ashx, , 
15518,CMBC,028,CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r028.ashx, , 
15519,CMBC,029,ELLIOTT/29TH AVENUE STN  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r029.ashx, , 
15520,CMBC,032,DUNBAR/DOWNTOWN                , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r032.ashx, , 
15521,CMBC,033,29 AVE STN/ UBC, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r033.ashx, , 
15522,CMBC,041,JOYCE STN/CROWN/UBC           , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r041.ashx, , 
15523,CMBC,043,JOYCE STN/UBC, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r043.ashx, , 
15524,CMBC,044,UBC/DOWNTOWN                    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r044.ashx, , 
15525,CMBC,049,METROTOWN STN/DUNBAR LOOP/UBC   , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r049.ashx, , 
15526,CMBC,050,WATERFRONT STN/FALSE CREEK SOUTH, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r050.ashx, , 
15527,CMBC,084,UBC/VCC STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r084.ashx, , 
